customer_id,customer_name,customer_group,territory,address,email,phone,contact_person,credit_limit,payment_terms,tax_id,is_active,created_date
CUST00001,Stout LLC,Fleet,Sharjah,"333 Lynda lakes, Christopherberg, B37 5NX",matthew23@example.org,(0131) 4960152,Luis Smith,283379,Net 90,TRN8808195126,1,2025-05-30
CUST00002,Arnold-Gilbert,Fleet,Ajman,"440 Hammond road, Jamesbury, M5S 0GN",ian76@example.org,+971505559450,Jessica Smith,360044,Net 30,TRN1875780059,1,2025-07-30
CUST00003,Thompson Inc,Retail,Abu Dhabi,"Flat 0, Beth crossroad, New Georginaland, NG0 4AG",natalie75@example.org,(01632) 960 216,Leonard Roberts,270972,Net 90,TRN2984560738,1,2025-08-13
CUST00004,Walker and Sons,Retail,Dubai,"08 Martin plaza, South Dianaberg, M3F 6NZ",wwebster@example.com,2000611,Sean Charlton-Jones,210886,Net 30,TRN4251651802,1,2025-09-06
CUST00005,Schofield Group,Government,Dubai,"1997 Renee Drives, West Lynn, MN 67631",sray@example.net,0116 4960643,Patricia Jones,74482,Net 60,TRN6792634253,1,2025-01-25
CUST00006,"Holland, Hudson and Hunter",Retail,Abu Dhabi,"79578 Michael Green, Bryantown, ID 58710",herreraanthony@example.org,+443069990053,Ronald Williamson-Humphreys,127810,Net 90,TRN4275978124,1,2025-07-28
CUST00007,Mills-Coffey,Government,Abu Dhabi,"PSC 5689, Box 1498, APO AA 51070",stephen48@example.org,+97117477514,Carol Howell,446593,Net 60,TRN7737038032,1,2024-12-15
CUST00008,Brown and Sons,Retail,Dubai,"16186 Mcconnell Stravenue Apt. 794, Scottport, WV 76070",steven22@example.org,027175447,Dr Jennifer Chadwick,192210,Net 30,TRN2334900323,1,2025-01-30
CUST00009,Smith-Hussain,Retail,Dubai,"204 Nicole Drives, Edwardsburgh, ID 87562",kathryn59@example.net,028 9018 0029,Paige Sullivan,276788,Net 90,TRN6707874259,1,2025-10-06
CUST00010,Miller Group,Wholesale,Abu Dhabi,"Studio 56e, Hodgson vista, Fishershire, BD8N 2TW",smithkathleen@example.com,052 994 2628,Ariel Hendricks,63864,Net 60,TRN1842139087,1,2025-08-26
CUST00011,West Inc,Retail,Dubai,"Studio 91, Ruth square, North Christiantown, BB18 8LA",carolynwhitehead@example.org,991,Christopher Stone,365661,Net 30,TRN5246067087,1,2025-06-04
CUST00012,Simpson Group,Government,Dubai,"9571 Hughes Unions Apt. 115, Port Elizabeth, NC 13713",nigelknight@example.com,+44(0)141 4960146,Nancy Lara,88792,Net 30,TRN6026296116,1,2025-03-09
CUST00013,Scott Ltd,Fleet,Dubai,"1233 Todd Flat, South Phyllis, MP 96492",barbarawilliams@example.com,0191 4960791,Madison Johnson,208048,Net 30,TRN2914193041,1,2024-12-14
CUST00014,"Ortiz, Jacobs and Garcia",Retail,Dubai,"110 Garcia Ports, East Daniel, MO 84318",elliottparkinson@example.net,+44(0)1414960174,Monica Huang,96247,Net 30,TRN8115703491,1,2025-05-22
CUST00015,Rice-Howe,Retail,Dubai,"1116 Howard Lodge Suite 843, Schultzstad, MA 53024",leahjohnson@example.net,997,Susan Morley-Bradshaw,459022,Net 60,TRN9883105219,1,2025-04-03
CUST00016,Kennedy-Thomson,Fleet,Dubai,"Studio 5, Clayton cliffs, South Kathleenside, PO9 0PH",lisa49@example.org,+971501466279,Mr William Evans,304805,Net 60,TRN9604393833,1,2025-03-20
CUST00017,Ward-Bailey,Government,Dubai,"Studio 46, Evans key, Brookesshire, B7H 3XQ",xpeters@example.net,01 635 1885,Daniel Wells,352904,Net 90,TRN4608277884,1,2025-08-11
CUST00018,Webb Ltd,Government,Dubai,"Studio 52t, Townsend villages, Morrismouth, G9 5LN",mayoheather@example.com,999,Justin Burke,210199,Net 30,TRN4669350511,1,2025-10-24
CUST00019,"Nelson, Brown and Morgan",Fleet,Sharjah,"4256 Dale Ramp, Briantown, NH 72491",paulinegreen@example.org,+44(0)131 4960012,Phillip Whittaker-Bird,294843,Net 90,TRN3346188681,1,2025-08-01
CUST00020,White-Woodward,Wholesale,Dubai,"Unit 2093 Box 5814, DPO AA 48590",davidstone@example.org,800162,Tammy Fields,124510,Net 60,TRN6273809076,1,2025-04-03
CUST00021,"McCarthy, Bond and Jackson",Retail,Dubai,"2 Paul knolls, Gemmaborough, LN2E 7XB",janicejones@example.com,991,Raymond Nelson,289583,Net 60,TRN1219366608,1,2025-01-29
CUST00022,Chadwick-Williams,Retail,Dubai,"12 Scott inlet, Port Brettfurt, N81 9GN",evansmelanie@example.net,+44(0)292018470,Keith Smith,244877,Net 90,TRN9367491764,1,2025-08-18
CUST00023,Spence-Rice,Retail,Sharjah,"14039 Joseph Road Suite 391, Elizabethborough, NJ 81650",tharrison@example.com,+44118 4960495,Holly Howe,155404,Net 60,TRN7736078226,1,2025-02-26
CUST00024,"Walsh, Barrett and Taylor",Fleet,Sharjah,"Flat 26, Turner wall, West Declan, WV6A 4WG",autumnlee@example.com,00971509053233,Carl Brown,132825,Net 60,TRN2798676670,1,2025-11-01
CUST00025,Brown LLC,Wholesale,Sharjah,"Flat 69N, Morton pine, South Jamie, IG0W 3BR",rebecca38@example.net,800276,Mr Russell Smith,441301,Net 30,TRN7645382610,1,2025-05-18
CUST00026,Ross LLC,Government,Abu Dhabi,"0 Helen cape, North Ambertown, S30 2TJ",michellebuck@example.com,036418469,Heidi Hayes,299393,Net 60,TRN3771176115,1,2025-08-29
CUST00027,Smith-Evans,Fleet,Dubai,"29265 Gonzales Locks Suite 128, Donnabury, PA 09698",andrea63@example.org,031375331,Angela Lopez,416957,Net 30,TRN4947536605,1,2025-08-27
CUST00028,Wong LLC,Government,Dubai,"676 Shields Motorway Suite 189, North Tylerfort, KS 25080",josephine67@example.com,997,Emily Anderson,219411,Net 90,TRN6690006248,1,2025-06-01
CUST00029,Huerta-Chapman,Wholesale,Sharjah,"96134 Maria Track Apt. 078, South Norman, CO 43760",harriszachary@example.com,998,Angela Thompson,336192,Net 90,TRN4511536678,1,2025-10-14
CUST00030,Dawson Ltd,Fleet,Abu Dhabi,"059 Abdul cliffs, South Kathryn, M9T 4TG",ryan95@example.org,8006687,Krystal Davis,58523,Net 60,TRN2687015194,1,2025-01-06
CUST00031,Hopkins PLC,Retail,Dubai,"2639 Christine Spur Suite 120, Hunterfurt, DE 94859",jordan84@example.org,0113 4960009,Sharon Knowles,362553,Net 60,TRN1446481893,1,2025-05-25
CUST00032,Davis-Reeves,Government,Dubai,"Unit 2456 Box 3190, DPO AA 52767",daniellebrooks@example.org,(029) 2018 0256,Diane Andrews,313090,Net 90,TRN6709278006,1,2024-12-21
CUST00033,"Smith, White and Tucker",Government,Abu Dhabi,"7401 Shah Spur, West Brandonborough, NE 80813",arobinson@example.org,8003933761,Chad Boyd,368825,Net 90,TRN1663224239,1,2025-08-31
CUST00034,Lin-Mitchell,Government,Abu Dhabi,"2 Owen ways, Fionahaven, LA3 8SR",ipacheco@example.org,(0191)4960141,Brett Sanchez,339815,Net 60,TRN1964582546,1,2025-10-18
CUST00035,Rodriguez-Williams,Retail,Sharjah,"27535 Graham Mews, East Brittanystad, UT 98245",breanna28@example.org,+441914960130,Mrs Hollie Patterson,90537,Net 90,TRN1741819046,1,2024-12-06
CUST00036,Gray-Harmon,Government,Dubai,"0301 James Pine, Nicholasfurt, TN 17484",msheppard@example.org,2000687,Martin Bryan,202336,Net 60,TRN9706921096,1,2025-08-07
CUST00037,Carter-Shepherd,Government,Dubai,"015 Lisa Canyon, Kaylaville, WY 02299",wlewis@example.com,+44(0)9098790491,Keith Gill,348657,Net 30,TRN6290357998,1,2025-01-17
CUST00038,Price and Sons,Fleet,Abu Dhabi,"363 Norman cape, Coxmouth, E7 8RH",ebeasley@example.org,922,Wayne Brown,215394,Net 60,TRN1907266707,1,2024-12-15
CUST00039,Bates Inc,Wholesale,Sharjah,"12728 Garcia Loaf Suite 469, Kathyton, ID 82691",robertscott@example.org,0553210479,Ms Lindsey Jones,74337,Net 90,TRN1713781620,1,2024-12-11
CUST00040,Clayton-Dean,Retail,Abu Dhabi,"136 Tran Springs Apt. 787, Perkinschester, IL 23900",mcculloughmallory@example.com,+441632 960738,Dana Campbell,273564,Net 60,TRN4834411904,1,2025-02-06
CUST00041,Brown Group,Fleet,Abu Dhabi,"51531 Schultz Grove Apt. 615, Hendrixburgh, AS 23481",margaret08@example.org,+44115 4960549,Carla Mercado,134250,Net 90,TRN8062362163,1,2025-09-30
CUST00042,Burton-Jones,Wholesale,Abu Dhabi,"50847 Erika Roads Suite 219, Stephenview, ME 10120",xryan@example.org,80046672,Melissa Smith,214028,Net 90,TRN3679788169,1,2025-07-06
CUST00043,Kirby-Brown,Retail,Dubai,"2 Chloe inlet, South Dorothy, W19 7NH",maciasbarbara@example.org,055 256 7221,Glenn Hughes,278590,Net 30,TRN4973993810,1,2024-11-30
CUST00044,Kelly Group,Wholesale,Dubai,"PSC 7771, Box 2653, APO AA 23480",areed@example.com,(029) 2018367,Laura Vasquez,108242,Net 60,TRN1660815379,1,2025-09-07
